title,locality,price,object_status,image,url
Prodej bytu 2+kk 43 m²,"Liberec - Liberec VI-Rochlice, okres Liberec",3290000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/GX54vR.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3623560524
Prodej bytu 2+1 61 m²,Praha 3 - Žižkov,7817000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gQ_z/9COErb.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1748165964
Prodej bytu 3+1 70 m²,"Olomouc - Nové Sady, okres Olomouc",5662000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/c1o5LQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3672843596
Prodej bytu 2+1 62 m²,"Chrudim - Chrudim IV, okres Chrudim",4186000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/9YrXy8.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3303974220
Prodej bytu 2+1 61 m²,"Frýdek-Místek - Místek, okres Frýdek-Místek",2950000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/qs63Bu.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1539360076
Prodej bytu 5+1 214 m² (Podkrovní),"Velké Přílepy, okres Praha-západ",13604000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QP_LK/VBTDwV.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2362307916
Prodej bytu 3+kk 87 m²,"Zlatníky-Hodkovice - Zlatníky, okres Praha-západ",8793000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QL_J9/dYCh7k.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3043464524
Prodej bytu 2+1 56 m²,Praha 9 - Letňany,5672000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jn/ltdCBqo.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3704669516
Prodej bytu 3+1 79 m²,Karlovy Vary,3506000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gR_z/XBWHIg.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2833982796
Prodej bytu 1+1 40 m²,Praha 4 - Michle,4760000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gX_z/NmtEvN.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3410412876
Prodej bytu 2+1 79 m²,"Třemošná, okres Plzeň-sever",3956000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gV_1/GgyDMf.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2830120268
Prodej bytu 2+kk 57 m²,Praha 3 - Vinohrady,8964000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/eKOssB.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4165023052
Prodej bytu 4+kk 82 m²,"Brandýs nad Labem-Stará Boleslav - Brandýs nad Labem, okres Praha-východ",5460000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/nXnv5j.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1786373452
Prodej bytu 4+kk 68 m²,Praha 4 - Modřany,7488000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QL_KA/PAkuYh.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/798045516
Prodej bytu 2+kk 48 m²,Praha 4 - Modřany,5559000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/hCplT4.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2288297292
Prodej bytu 3+kk 99 m²,"Jenštejn, okres Praha-východ",6796000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/FMr1ea.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/4223067468
Prodej bytu 3+kk 91 m²,"Lešany, okres Benešov",4992000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/JN0lXJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2598859852
Prodej bytu 1+kk 37 m²,"Hostivice, okres Praha-západ",4981000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QN_KE/w9OlU6.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/3953362252
Prodej bytu 1+kk 40 m²,Praha 1 - Malá Strana,10200000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_gT_o/vXcBjLE.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/1529378380
Prodej bytu 2+1 68 m²,Praha 6 - Sedlec,7091000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QO_K7/avgBCqT.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/791733580
Prodej bytu 4+kk 184 m²,Praha,22605000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/Ly4IFH.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/201389388
Prodej bytu 4+1 108 m²,Česká Lípa,4300000,Velmi dobrý,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/AkStNd.jpeg?fl=res,400,300,3|shr,,20|jpg,90",https://www.sreality.cz/detail/prodej/dum/chalupa/loucna-pod-klinovcem-haj-/2791413068
